vertex_id,x_um,depth_um,potential_V,electric_field_mag_V_per_cm,Ex_V_per_cm,Ey_or_Ez_V_per_cm,net_doping_cm-3,donor_cm-3,acceptor_cm-3,phosphorus_like_cm-3,boron_like_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s
164,-48.6049779296875,-61.25,-33.12837688400844,141845.2083558787,141845.2083558276,-0.1203161478714021,-2.711268170291244e+16,11202922759.36402,2.71126929058352e+16,11202922759.36402,2.71126929058352e+16,80.5665430265486,54.75275160670676,11435805.99564844,7724688.923264912
165,-48.55507548828125,-70.0,-33.78430344950453,124809.2049196433,124809.2039854106,-15.27094220682419,-1.713048897396924e+16,10394306285.38891,1.713049936827552e+16,10394306285.38891,1.713049936827552e+16,81.9706674262104,60.54554447179807,10328849.48808872,7660547.638784759
166,-48.6049779296875,-70.0,-33.12857826033135,141846.1359082663,141846.1338687161,-24.05420212105233,-2.711283753489371e+16,11202919427.52154,2.711284873781314e+16,11202919427.52154,2.711284873781314e+16,80.67221840497558,53.47574490090773,11429114.40731971,7720570.906482343
167,-48.65488037109375,-61.25,-32.36841390221677,167130.9794261724,167130.9794261309,-0.1178053046407808,-3.850571777578724e+16,13371375049.09538,3.850573114716228e+16,13371375049.09538,3.850573114716228e+16,72.34282602113996,47.06818089137946,11965436.842094,7806162.975444373
168,-48.7047828125,-52.5,-31.46032107545553,200439.5753997873,200439.5753997873,-0.003637705629081972,-4.790199190609342e+16,18549833323.4339,4.790201045592674e+16,18549833323.4339,4.790201045592674e+16,57.0613277978905,39.71538998171155,11316082.73872033,7895447.937922162
169,-48.75468525390625,-43.75000000000001,-30.36792244029081,238823.072847596,238823.072847596,0.000132137061889062,-5.165535849644706e+16,29808831620.85881,5.165538830527868e+16,29808831620.85881,5.165538830527868e+16,46.03656759930487,33.6246865974225,10907426.44184819,7977283.183057484
170,-48.8045876953125,-35.0,-29.07675047218925,277424.4806447782,277424.4806447781,-0.005017829100764869,-4.846569552120023e+16,52882874002.61517,4.846574840407424e+16,52882874002.61517,4.846574840407424e+16,38.86200037440979,29.11653925755814,10727510.58943292,8043606.783541284
171,-48.85449013671874,-26.25,-27.59908215590402,311578.6941422183,311578.6941422177,-0.01690418183502111,-4.01302107912851e+16,99231009664.56708,4.013031002229476e+16,99231009664.56708,4.013031002229476e+16,34.28495330003842,26.03394016738591,10653458.30697037,8093724.38664703
172,-48.904392578125,-17.5,-25.96701391475678,338585.0624105568,338585.0624105556,-0.02869895404933619,-2.994202979357757e+16,193261191218.0511,2.994222305476879e+16,193261191218.0511,2.994222305476879e+16,31.41765375616666,24.03658651885205,10623582.15169731,8130468.645377785
173,-48.95429501953124,-8.75,-24.21978816936336,358067.5962513916,358067.5962513761,0.1053194175258412,-2.063144512660495e+16,389156493640.6334,2.06318342830986e+16,389156493640.6334,2.06318342830986e+16,29.65518389799973,22.78941264049082,10612336.04904681,8157133.782312608
174,-48.95429501953124,0.0,-24.2200018781631,358067.7794342464,358067.7794342464,-2.702860289257581e-12,-2.063162251584986e+16,389146855234.132,2.06320116627051e+16,389146855234.132,2.06320116627051e+16,29.87424572131071,22.94504930869212,10610661.22324435,8155836.903564543
175,-49.0041974609375,0.0,-22.39350622884663,371194.9402166568,371194.9402166568,-2.301689280687202e-12,-1.346835193691845e+16,811712700494.7896,1.346916364961894e+16,811712700494.7896,1.346916364961894e+16,28.71846712791267,22.1227331655046,10607317.65665929,8175185.3743967
176,-49.0041974609375,-8.75,-22.39329456746899,371194.6204427165,371194.6204427016,0.1053552236120394,-1.346825790307843e+16,811737633435.8915,1.346906964071187e+16,811737633435.8915,1.346906964071187e+16,28.58706023705052,22.02935012654755,10608661.23289065,8176251.323382751
177,-48.95429501953124,-17.5,-24.21981587149855,358068.0371715983,358068.0371715974,-0.02664673123120616,-2.063144845332031e+16,389156813222.2773,2.063183761013353e+16,389156813222.2773,2.063183761013353e+16,29.65516865979487,22.78939323014747,10612338.54396191,8157133.329627767
178,-48.904392578125,-26.25,-25.96703456167086,338585.3412405162,338585.3412405158,-0.01582066575411164,-2.994203014662663e+16,193261216307.2641,2.994222340784294e+16,193261216307.2641,2.994222340784294e+16,31.41762879314277,24.03656774279556,10623582.20351465,8130468.856551676
179,-48.85449013671874,-35.0,-27.59909005505009,311578.7953718443,311578.7953718443,-0.004702674122043082,-4.013021069765809e+16,99231013668.25064,4.013030992867176e+16,99231013668.25064,4.013030992867176e+16,34.28494071566749,26.0339312096684,10653458.21057309,8093724.499814179
180,-48.8045876953125,-43.75000000000001,-29.07675103166486,277424.489961456,277424.489961456,0.0001420504352857119,-4.84656953715891e+16,52882874795.75285,4.846574825446389e+16,52882874795.75285,4.846574825446389e+16,38.86199752251748,29.11653725764468,10727510.5581376,8043606.806969317
181,-48.75468525390625,-52.5,-30.36792163204964,238823.0670106435,238823.0670106435,-0.003420683073737068,-5.165535847773523e+16,29808831632.11819,5.165538828656686e+16,29808831632.11819,5.165538828656686e+16,46.0365642398164,33.62468481651425,10907426.37485298,7977283.199238191
182,-48.7047828125,-61.25,-31.46032810246078,200439.6573341909,200439.6573341579,-0.1149684993501929,-4.790199241997071e+16,18549832639.59337,4.790201096980336e+16,18549832639.59337,4.790201096980336e+16,57.06116564476722,39.71541922078682,11316069.9491126,7895458.671139323
183,-48.65488037109375,-70.0,-32.36861112875456,167132.0752750983,167132.0718006875,-34.07889320175564,-3.850592805567226e+16,13371367640.84324,3.85059414270399e+16,13371367640.84324,3.85059414270399e+16,69.44376489222967,45.75215266570531,11959826.85426741,7803282.891366355
