tcad_x_um,tcad_lateral_um,electric_field_V_per_cm,electron_velocity_cm_per_s,hole_velocity_cm_per_s,electron_active_drift_ps,hole_active_drift_ps,electron_full_contact_drift_ps,hole_full_contact_drift_ps,electron_multiplication_to_cathode,hole_multiplication_to_anode
-49.45331943359375,43.75000000000001,388769.494341916,10576452.508239066,8231048.878225127,152.05188318342255,624.182160088633,152.05188318342255,14586.94302867888,1.4080423096305306,1.3376674158079798
-49.40341699218749,43.75000000000001,392161.2874747639,10595364.130284691,8228497.038818379,152.5232879955348,623.5757953340128,152.5232879955348,14586.33666392426,1.686167994291663,1.3005757836517762
-49.35351455078125,43.75000000000001,392792.4367127619,10602761.149170786,8224576.99799234,152.99410743663805,622.9691920436205,152.99410743663805,14585.730060633867,2.0264160146444756,1.2629613603375616
-49.303612109375,43.75000000000001,392510.2260738544,10605646.18360555,8220228.712353956,153.4646985710564,622.3622837496071,153.4646985710564,14585.123152339853,2.435748121952438,1.226141754505027
-49.25370966796875,43.75000000000001,391725.9648503855,10606835.865675477,8215851.252775829,153.93519930215692,621.7550532536269,153.93519930215692,14584.515921843873,2.924350356352164,1.190592935721912
-49.2038072265625,43.75000000000001,390409.5038568671,10607428.292953944,8211252.289949685,154.40566050761774,621.1474909382407,154.40566050761774,14583.908359528486,3.5033495870251685,1.1565933874215606
-49.15390478515625,43.75000000000001,388314.782895678,10607804.260041432,8205913.634882529,154.87610023810166,620.5395608373724,154.87610023810166,14583.300429427618,4.182563451084946,1.124437191520008
-49.10400234375,43.75000000000001,384980.9580126919,10608167.153198646,8199101.51678069,155.34652358520052,619.9311804177318,155.34652358520052,14582.692049007977,4.966757492320012,1.0945352045452474
-49.05409990234375,43.75000000000001,379654.3616841851,10608946.070578314,8189876.225642621,155.81692161670628,619.3222045804071,155.81692161670628,14582.083073170654,5.849007444837871,1.0674887221438174
-49.0041974609375,43.75000000000001,371195.4517533237,10611369.775096474,8177178.746459851,156.28724866009406,618.7124128796336,156.28724866009406,14581.47328146988,6.800288787731504,1.0441275894460191
-48.95429501953124,43.75000000000001,358068.425863157,10618567.627305148,8160153.107252037,156.75736259586944,618.1015114662443,156.75736259586944,14580.86238005649,7.757469467289754,1.025433065364257
-48.904392578125,43.75000000000001,338585.4507752342,10637547.828408405,8138429.043320987,157.22689788135992,617.4891572184873,157.22689788135992,14580.250025808733,8.620098491367665,1.012212551490901
-48.85449013671874,43.75000000000001,311578.8042277279,10682460.166365048,8111620.65418847,157.6950277513943,616.8749735310222,157.6950277513943,14579.635842121268,9.27606519810582,1.004503474000471
-48.8045876953125,43.75000000000001,277424.4899614561,10781269.841567792,8077640.498145806,158.16003079590877,616.2584826265443,158.16003079590877,14579.01935121679,9.664002465433045,1.0011330763357733
-48.75468525390625,43.75000000000001,238823.0728475967,10994594.537422054,8030350.976733822,158.61840278142594,615.6388787288491,158.61840278142594,14578.399747319096,9.824253759586451,1.0001617278110992
-48.7047828125,43.75000000000001,200439.5807088786,11437349.734572034,7960536.638718501,159.0634991959819,615.0147308539914,159.0634991959819,14577.775599444238,9.863876012732856,1.000009424457416
-48.65488037109375,43.75000000000001,167130.9017842444,12090794.020436374,7866546.479244387,159.4880202549202,614.3841130581104,159.4880202549202,14577.144981648356,9.86826526948199,1.0000001406805608
-48.6049779296875,43.75000000000001,141845.1294759618,11428018.776036233,7766423.253316347,159.91271943755982,613.7456612565671,159.91271943755982,14576.506529846813,9.868366145089716,1.0000000009266137
-48.55507548828125,43.75000000000001,124808.3114121362,10349633.994716737,7687120.979174396,160.37213629824475,613.0998061075386,160.37213629824475,14575.860674697784,9.868367112757895,1.0000000004586953
-48.50517304687499,43.75000000000001,114368.9125332112,10149545.717351248,7639955.144322471,160.85905525715788,612.4486328039025,160.85905525715788,14575.209501394149,9.868367554459457,1.000000000457962
-48.45527060546875,43.75000000000001,108389.1572606316,10152221.182508048,7618142.988905085,161.35066214555385,611.7945205685314,161.35066214555385,14574.555389158777,9.868367604656571,1.00000000045796
-48.4053681640625,43.75000000000001,105114.9239136637,10156813.649901105,7610653.309164923,161.84209312068174,611.1391509319586,161.84209312068174,14573.900019522205,9.868367609805075,1.00000000045796
-48.35546572265625,43.75000000000001,103380.4458121975,10164069.090455534,7609756.3649804,162.3332376088955,610.4834203353727,162.3332376088955,14573.244288925618,9.868367611231841,1.00000000045796
-48.30556328125,43.75000000000001,102490.2180317209,10170758.17166935,7611325.348498525,162.82404528739434,609.8277186858337,162.82404528739434,14572.58858727608,9.868367611970998,1.00000000045796
-48.25566083984375,43.75000000000001,102051.0838577129,10176049.905378008,7613458.32530618,163.31456394361496,609.1721764665825,163.31456394361496,14571.933045056829,9.868367612507495,1.00000000045796
-48.2057583984375,43.75000000000001,101847.5618612781,10179922.679199511,7615402.85832227,163.80486174692717,608.5168097701745,163.80486174692717,14571.27767836042,9.868367612969026,1.00000000045796
-48.15585595703125,43.75000000000001,101764.4631453535,10182632.610288918,7616945.135581971,164.29500104016068,607.8615930965822,164.29500104016068,14570.622461686828,9.868367613401094,1.00000000045796
-48.105953515625,43.75000000000001,101741.6911636134,10184481.82222186,7618094.854424791,164.78503061192924,607.206492201236,164.78503061192924,14569.967360791481,9.868367613822848,1.00000000045796
-48.05605107421874,43.75000000000001,101748.6120543689,10185732.077559244,7618933.322450853,165.27498562015606,606.5514767877565,165.27498562015606,14569.312345378003,9.868367614243049,1.00000000045796
-48.0061486328125,43.75000000000001,101769.9308478595,10186582.647206256,7619548.60372036,165.7648901024638,605.8965238635824,165.7648901024638,14568.657392453828,9.868367614665878,1.00000000045796
-47.95624619140625,43.75000000000001,101798.144298415,10187174.08451433,7620014.302046492,166.25475991003452,605.2416173972827,166.25475991003452,14568.002485987528,9.868367615093382,1.00000000045796
-47.90634375,43.75000000000001,101829.624854378,10187600.19366977,7620386.921905951,166.74460525258155,604.5867469551888,166.74460525258155,14567.347615545434,9.86836761552658,1.00000000045796
-47.85644130859375,43.75000000000001,101862.6397049007,10187921.846940234,7620707.481087558,167.23443261817462,603.9319062973091,167.23443261817462,14566.692774887555,9.86836761596603,1.00000000045796
-47.8065388671875,43.75000000000001,101896.3693573683,10188179.264192987,7621002.499793069,167.72424606326945,603.2770920869933,167.72424606326945,14566.037960677239,9.868367616412042,1.00000000045796
-47.75663642578125,43.75000000000001,101930.4295012392,10188399.493181853,7621286.271394996,168.21404802665361,602.6223027417361,168.21404802665361,14565.383171331981,9.868367616864841,1.00000000045796
-47.706733984375,43.75000000000001,101964.6408631302,10188599.692323174,7621565.311019149,168.70383988419624,601.9675375732483,168.70383988419624,14564.728406163495,9.868367617324576,1.00000000045796
-47.65683154296875,43.75000000000001,101998.9205965627,10188789.814847384,7621842.33411265,169.19362235994504,601.3127962898756,169.19362235994504,14564.073664880121,9.868367617791383,1.00000000045796
-47.6069291015625,43.75000000000001,102033.2310403797,10188975.10550019,7622118.379030597,169.6833958125826,600.6580787612534,169.6833958125826,14563.4189473515,9.86836761826538,1.00000000045796
-47.55702666015625,43.75000000000001,102067.55490544,10189158.064534338,7622393.8798859,170.1731604146086,600.003384920283,170.1731604146086,14562.76425351053,9.868367618746676,1.00000000045796
-47.50712421875,43.75000000000001,102101.8842140261,10189339.868768184,7622669.029735237,170.6629162501324,599.3487147268132,170.6629162501324,14562.109583317058,9.868367619235379,1.00000000045796
-47.45722177734375,43.75000000000001,102136.2152975916,10189521.070647491,7622943.914990897,171.1526633616962,598.6940681527018,171.1526633616962,14561.454936742948,9.868367619731599,1.00000000045796
-47.4073193359375,43.75000000000001,102170.5464745246,10189701.926532999,7623218.574823553,171.64240177240083,598.0394451752046,171.64240177240083,14560.80031376545,9.868367620235437,1.00000000045796
-47.35741689453125,43.75000000000001,102204.8769763887,10189882.554642053,7623493.027127997,172.13213149634367,597.3848457740322,172.13213149634367,14560.145714364278,9.868367620747009,1.00000000045796
-47.30751445312499,43.75000000000001,102239.2064532034,10190063.009282174,7623767.280147339,172.62185254347452,596.7302699300218,172.62185254347452,14559.491138520267,9.868367621266422,1.00000000045796
-47.25761201171874,43.75000000000001,102273.5347462278,10190243.315358108,7624041.337735915,173.11156492183866,596.075717624534,173.11156492183866,14558.83658621478,9.868367621793793,1.00000000045796
-47.2077095703125,43.75000000000001,102307.8617839081,10190423.484299539,7624315.201753373,173.60126863860793,595.421188839178,173.60126863860793,14558.182057429423,9.86836762232923,1.00000000045796
-47.15780712890625,43.75000000000001,102342.1875343538,10190603.5213807,7624588.8731346205,174.09096370055195,594.7666835556868,174.09096370055195,14557.527552145932,9.868367622872853,1.00000000045796
-47.1079046875,43.75000000000001,102376.5119836774,10190783.429071091,7624862.352794423,174.5806501142533,594.1122017558769,174.5806501142533,14556.873070346122,9.868367623424778,1.00000000045796
-47.05800224609375,43.75000000000001,102410.8351261906,10190963.208565082,7625135.633196786,175.07032788620631,593.457743421284,175.07032788620631,14556.21861201153,9.868367623985119,1.00000000045796
-47.0080998046875,43.75000000000001,102445.1569591007,10191142.860475412,7625408.881428624,175.55999702286073,592.8033085402944,175.55999702286073,14555.56417713054,9.868367624553999,1.00000000045796
