event_id,primary_charge_fC,preirradiation_full_collection_charge_fC,effective_electron_multiplication,primary_electron_induced_charge_fC,primary_hole_induced_charge_fC,primary_charge_weighted_electron_active_drift_ps,primary_charge_weighted_hole_active_drift_ps,gain_charge_weighted_electron_active_drift_ps,primary_charge_weighted_electron_full_contact_drift_ps,primary_charge_weighted_hole_full_contact_drift_ps,max_electron_drift_ps,max_hole_drift_ps
4224,14.26096468619179,140.5775550260034,9.857506705848444,9.527287625949503,4.7336770602422895,475.06322910022686,189.3295739849215,475.4445092761713,475.06322910022686,14334.02608116776,5821.551514728952,625.2434752248681
4225,0.5874668372955595,5.672052466020024,9.655102392045949,0.2810722816372417,0.3063945556583179,469.2429831791447,315.63290533959713,476.40639606565566,469.2429831791447,14312.851644329832,5821.551514728952,625.2434759011544
4226,0.7613524082060401,7.24248860605074,9.512662635580382,0.418262545502471,0.3430898627035692,432.62418113404556,268.2075193357191,443.3493359405704,432.62418113404556,14384.286134202728,1643.4094409124307,625.2434728678426
4227,1.5359477273322566,15.108414791158236,9.836542300433367,0.9826952414262807,0.5532524859059755,552.2888619003902,208.9094544344351,553.6407559453078,552.2888619003902,14202.683439709775,5821.551514728952,625.2434729291579
4228,0.5486780298336354,5.200546914964175,9.478321770129982,0.28451655018328914,0.26416147965034625,793.2359323429839,290.28907498915237,819.9300007621232,793.2359323429839,13788.234874537548,5821.551514728952,625.2434740640323
4229,0.7761366127098873,7.562939600130631,9.74434072079729,0.32932724881652614,0.446809363893361,462.27302780144134,351.3121180488468,466.3234334815376,462.27302780144134,14316.253631297315,5821.551514728952,625.2434758829565
4230,0.5782886886339264,5.707130416382256,9.868998872974734,0.29733874457654585,0.28094994405738055,423.66493185270446,291.5812272752151,423.66941754979496,423.66493185270446,14393.34237516657,5821.551514728952,612.9907542206822
4231,0.645904414026928,6.367012840395787,9.857515604670173,0.3297194867325277,0.3161849272944001,486.44866944225504,294.19859355908613,486.8526572467434,486.44866944225504,14290.558765759011,5821.551514728952,625.2434732176574
4232,1.9414187881593168,19.159718053935443,9.868925844743167,1.1644067975693675,0.7770119905899503,482.80159066984606,234.62249054545677,482.8053827103556,482.80159066984606,14310.517738150018,5821.551514728952,612.9907549308657
4233,10.054446724712882,99.1213873043894,9.85846263034627,6.89124883006089,3.1631978946519963,493.8949492397684,177.9734404125196,494.26589837184173,493.8949492397684,14305.895334183975,5821.551514728952,625.2434719259385
4234,0.5903378829090833,5.826020270545399,9.868958844104288,0.2487583574531355,0.34157952545594783,484.5152328161188,353.52580037625495,484.52742614546173,484.5152328161188,14278.965196588579,5821.551514728952,612.9907555114805
4235,0.5414852918830352,5.323656715462543,9.83158138413941,0.23965341295437326,0.30183187892866203,391.2973040549125,338.95999744507884,392.23334511726785,391.2973040549125,14436.508615660341,5821.551514728952,625.2434743800824
4236,0.8734664463646921,8.543750786763658,9.78142986753775,0.3978784980483893,0.47558794831630286,413.04223731633203,330.2108355426034,415.43313881976843,413.04223731633203,14402.672995770603,5821.551514728952,625.2434759840993
4237,1.189749585965608,11.72446453211559,9.854564918885803,0.530665166936632,0.6590844190289755,424.29881031849567,336.52295747824303,424.7096844688114,424.29881031849567,14382.541243624364,5821.551514728952,625.2434735499087
4238,0.6038023157222926,5.958911213652986,9.868977078242398,0.3255677941667682,0.2782345215555244,477.6953402574609,275.06083132918036,477.7021125240656,477.6953402574609,14309.688959214547,5821.551514728952,612.9907534866213
4239,0.6402264331132681,6.038437415354972,9.431721502018425,0.2456892985616579,0.3945371345516102,336.802194041432,377.7467718372547,345.63242175435823,336.802194041432,14516.505130858122,1643.409441463466,625.2434724935881
