temperature_K,bias_V,anode_conduction_current_A,operating_regime,state,fluence_neq_cm-2,active_acceptor_fraction,beta_e_cm2_per_ns,beta_h_cm2_per_ns,charge_MPV_fC,charge_median_fC,charge_p16_fC,charge_p84_fC,events,map
253.0,610.0,-0.1528,breakdown,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.5114560037848674,1.7919477803108617,1.4205815852714303,2.555939820795772,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V610/n590_T253_V610_map.csv
253.0,450.0,-5.049e-10,stable,D5_high,2500000000000000.0,0.5,5e-16,7e-16,1.056578063805865,1.258600211318047,0.9978200907081609,1.7907068429276376,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V450/n590_T253_V450_map.csv
253.0,470.0,-3.659e-09,stable,D5_high,2500000000000000.0,0.5,5e-16,7e-16,1.1080169681829453,1.3205645669635475,1.0469295598049124,1.8803632044698466,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V470/n590_T253_V470_map.csv
253.0,490.0,-3.977e-11,stable,D5_high,2500000000000000.0,0.5,5e-16,7e-16,1.1902104980358015,1.4192168580597808,1.124963281655314,2.0213823168164304,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V490/n590_T253_V490_map.csv
253.0,510.0,-8e-11,stable,D5_high,2500000000000000.0,0.5,5e-16,7e-16,1.2491166299217733,1.4881670623569423,1.1796381481555296,2.1203691855715667,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V510/n590_T253_V510_map.csv
253.0,530.0,-5.055e-11,stable,D5_high,2500000000000000.0,0.5,5e-16,7e-16,1.3317295681599233,1.5852542320674603,1.2561525477587951,2.2590828016017603,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V530/n590_T253_V530_map.csv
253.0,550.0,-3.796e-10,stable,D5_high,2500000000000000.0,0.5,5e-16,7e-16,1.4037017455657979,1.6693746560997544,1.3231894338071015,2.3794159990158437,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V550/n590_T253_V550_map.csv
253.0,570.0,-0.1089,breakdown,D5_high,2500000000000000.0,0.5,5e-16,7e-16,1.1197909867850364,1.3349370932237472,1.0583412398420076,1.9010846487305948,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V570/n590_T253_V570_map.csv
253.0,590.0,-0.1308,breakdown,D5_high,2500000000000000.0,0.5,5e-16,7e-16,1.12069016824426,1.3360196637466575,1.0592456846303382,1.9026925390176583,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V590/n590_T253_V590_map.csv
253.0,610.0,-0.1528,breakdown,D5_high,2500000000000000.0,0.5,5e-16,7e-16,1.1215487248682603,1.3371552929262127,1.0601664245531408,1.9043146088011556,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V610/n590_T253_V610_map.csv
300.0,450.0,-2.231e-08,stable,D0_undamaged,0.0,1.0,0.0,0.0,3.8779248046536283,4.576403312555543,3.6240594413028075,6.534489682302749,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V450/n590_T300_V450_map.csv
300.0,470.0,-3.398e-08,stable,D0_undamaged,0.0,1.0,0.0,0.0,4.285897471578865,5.056982301567514,4.00290515969127,7.2205618264507985,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V470/n590_T300_V470_map.csv
300.0,490.0,-6.815e-08,stable,D0_undamaged,0.0,1.0,0.0,0.0,4.741078187874605,5.592653445090464,4.42678619348356,7.98553540820207,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V490/n590_T300_V490_map.csv
300.0,510.0,-6.2e-06,transition,D0_undamaged,0.0,1.0,0.0,0.0,5.203946228138124,6.13713579482758,4.858355926984717,8.762956990436884,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V510/n590_T300_V510_map.csv
300.0,530.0,-0.02191,breakdown,D0_undamaged,0.0,1.0,0.0,0.0,5.207408930748901,6.141620855584158,4.861651040575398,8.76988557086429,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V530/n590_T300_V530_map.csv
300.0,550.0,-0.04167,breakdown,D0_undamaged,0.0,1.0,0.0,0.0,5.2089975270306255,6.143503426320036,4.863141677729933,8.772588368407824,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V550/n590_T300_V550_map.csv
300.0,570.0,-7.297e-06,transition,D0_undamaged,0.0,1.0,0.0,0.0,5.20360056021988,6.13672852653035,4.858033951770666,8.762654637891737,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V570/n590_T300_V570_map.csv
