event_id,primary_charge_fC,preirradiation_reference_charge_fC,acceptor_sqrt_no_trapping_charge_fC,acceptor_direct_no_trapping_charge_fC,hybrid_sqrt_nominal_trapping_charge_fC,hybrid_direct_nominal_trapping_charge_fC,hybrid_direct_strong_trapping_charge_fC
4021,0.6059414478290112,5.9664431354941625,4.063299662696641,2.951652050120934,2.5428524944256776,1.8603004399340959,1.57860597847142
4022,0.4447880681774885,4.360173527543728,2.9701722134645916,2.1582376515681387,1.874248870305641,1.3757207422362425,1.1693892210542196
4023,0.4689291126383526,4.583294934089377,3.1227102401659304,2.269532883639763,1.9677151761619116,1.4438639563583417,1.2256594886491101
4024,0.8136977228913539,7.951429255482198,5.4175693229197295,3.937453067231911,3.407565578395828,2.498773637367338,2.11890413372797
4025,0.6626471749287102,6.53966452554879,4.4530808102136765,3.2342979302720622,2.8125888058190185,2.0642556566153276,1.7526028060047267
4026,0.5929071111919167,5.78761681723946,3.9435464827778866,2.8663542990004314,2.4982674683657526,1.8368710596027225,1.5617157729357547
4027,0.5233099451645334,5.150253265499691,3.5075587195086246,2.5480388563358685,2.214758622131258,1.6256130627996885,1.3799624093177127
4028,0.36895844618297785,3.565891776672545,2.431161597803159,1.768287284497798,1.537865139827704,1.1308600604506638,0.9611566491785342
4029,0.7258114232111132,7.0019641976304605,4.774338484066662,3.4730162086443643,3.017843083154388,2.2188307137307803,1.8858093726314378
4030,0.5683029507230196,5.52658631428593,3.76653164604014,2.7383960830226,2.382340526791364,1.7510649022791895,1.4887659350849782
4031,2.081301829067513,20.49501305199198,13.95759134042332,10.139003409616722,8.776074428705275,6.431459994563181,5.444018922275664
4032,0.6457363852370706,6.322064981301116,4.3069453264480915,3.1298553500464283,2.7220765266140625,1.9993428359514076,1.6984081482533608
4033,0.4867432186059235,4.770889079423638,3.2499744604183993,2.3615703632275853,2.017929829863804,1.472449377882726,1.2461986998335624
4034,0.551206355401497,5.43983251148592,3.7041702362950373,2.6903614832096405,2.3268487084451386,1.7043697502572275,1.444345805489895
4035,0.8083554921473333,7.895730148425379,5.379762948697601,3.910094418923154,3.4035326078490873,2.50115557413339,2.124913962622631
4036,0.7572206865706302,7.4262290634729045,5.058654053127522,3.6756959226085835,3.1689074865118214,2.3197706710579116,1.9612478374601043
4037,0.7425967881863555,7.2589491278725635,4.945662166802016,3.594394048673703,3.1180537976555054,2.2883746620105767,1.9431356854327773
4038,0.7713284388242342,7.565301509676103,5.153358963784981,3.744485617339371,3.2513434636420593,2.386294695639689,2.025553380925515
4039,0.46130889847142365,4.545961698031451,3.095769904166343,2.2486996062517446,1.9526394594991097,1.4325379760447563,1.2155186229206554
4040,0.9006033390702293,8.888054632390036,6.052179696584575,4.395732489280441,3.7997821461593233,2.782722933429348,2.359521643053988
4041,0.6691438568283609,6.055370297286759,4.145310731968319,3.029104704165327,2.606163167973722,1.9208122443622404,1.6272906888468788
4042,0.8417866479907931,8.275907584739791,5.636618814100195,4.094967851855162,3.556518219927763,2.609943945132855,2.214538093576097
4043,1.3473845015329269,13.190387360262088,8.9860839447056,6.530224776121559,5.617722412416454,4.10982395414255,3.4713064514035277
4044,0.5609766296150546,5.3833885683626,3.671868243959916,2.67201287550249,2.317470615665087,1.7035590411582344,1.446271489783017
4045,0.6676763872559371,6.503825275049665,4.432107852199128,3.2219248092578265,2.8020470270213043,2.058994180938457,1.749778806234499
4046,0.6001317411355455,5.794315789909582,3.9506984753777927,2.8737087902455,2.48887215159279,1.8276000776607062,1.5511854477055957
4047,0.8711504515797428,8.40250854020461,5.729373710358389,4.16779462199736,3.615526744263413,2.6567165932376406,2.2554702931478707
4048,1.1603950640798542,11.353529344746049,7.734957315391931,5.621236504996179,4.901427840075502,3.6036024621987117,3.0644709072654233
4049,0.6431105907182851,6.346839658040443,4.3217818709056655,3.1389360298736797,2.704268322489959,1.978000527728901,1.6757273732287477
4050,0.5284761015452869,5.102524387276187,3.4790170844777553,2.5306095650040152,2.194051105359745,1.6117285296210713,1.3687296168904122
4051,0.5624535182762077,5.488409324746773,3.7397515460143707,2.7182917951351753,2.3613451079282535,1.7341684343078858,1.4727594794148928
4052,0.8387838325611934,8.205496991499597,5.590310394739214,4.062697854003764,3.520483834269062,2.582529156529517,2.18946747099928
4053,0.7032108783663875,6.935944664828324,4.723084219169305,3.4305384174540574,2.9921076014685757,2.1984839901341884,1.8704805224637597
4054,1.0720151773814701,10.343565051324743,7.0527656499724545,5.130364303092026,4.471746291524276,3.291391137331794,2.8013058017606576
4055,0.533716430578088,5.190632329846774,3.537551503139021,2.571905714333088,2.236667009454321,1.6437601298419597,1.3966218026889208
4056,0.6260755097269383,6.145478071993592,4.185998264398647,3.041425840117111,2.6174717065421786,1.9147038050153387,1.620335554770507
4057,0.48325543395253506,4.706745670463248,3.2074924487996834,2.3317109409516408,2.0186802145466043,1.480950037166319,1.2567695788676971
4058,0.5371598304579159,5.269608648308279,3.5895223009706294,2.6081467388254995,2.245772079369088,1.6432071130922246,1.3925468364883722
4059,0.5276462268677428,5.201837106660919,3.542331294964413,2.573000418225913,2.2401328564335143,1.6449633308090117,1.3991279658903626
4060,0.6593244859719868,6.5068527199060995,4.430740439456345,3.2180733866614446,2.796655319098699,2.0520772889013137,1.7425928473269274
4061,0.6435642318965288,6.335647645341731,4.314789142910484,3.1343810635524965,2.7055703032009752,1.9807992955990064,1.679489984709203
4062,1.0523837723871172,10.369739381816721,7.061763252348404,5.129542968738559,4.443245135240642,3.2568611500316162,2.7623834243882794
4063,0.6074120379007832,5.974544778987884,4.0690773296081115,2.9560646422429984,2.5562623939236286,1.8728721829835726,1.5864025437695206
4064,0.9580290001545364,9.117012501212542,6.221641451948516,4.53011299143197,3.9417194621405613,2.903120347403495,2.4705123152486013
4065,0.7080167775230456,6.865057239015966,4.679565178506626,3.40288926033716,2.945017153770778,2.1611376567867815,1.8317011709289575
4066,0.6455905086869848,6.364763915368051,4.334251226621209,3.148212302042141,2.7316604507614914,2.003432102217331,1.6998151449772296
4067,0.7096913992322748,6.942162212479909,4.729635970557213,3.437228828458304,2.985418653394154,2.1918801791865166,1.861225130996823
4068,0.6443606397246371,6.340189377883328,4.318008541020183,3.136827256983796,2.71543038314153,1.990184627830263,1.689715454114846
4069,0.5628201472900193,5.403778251712935,3.6856647070541766,2.6819601358284215,2.330227397971422,1.7139524115775489,1.4572931514100176
4070,0.4765076895786626,4.6972415853979985,3.198728172084016,2.323434959567559,2.0205992850758387,1.4831689207944676,1.2602788696714824
4071,0.48596387835694177,4.718871778656195,3.216335313782441,2.3386219337136636,2.029392099689134,1.4904757523485825,1.2653560419046346
4072,0.5256922243150922,5.149313934632914,3.5078985702506804,2.5491027330810336,2.212403536732636,1.6237025301178722,1.3802509674677785
4073,0.5597772618585064,5.452563556155302,3.715720699528092,2.7011532252902044,2.331850759347673,1.708905946289534,1.4469624429340129
4074,0.508966397699352,4.929500168653367,3.3604159510700575,2.4438161236861937,2.1218456787623445,1.5590530380935341,1.3237722265575684
4075,0.773511630669115,7.610449443695964,5.18314416214533,3.7653242750662197,3.260809847037452,2.3902678999437703,2.028341892202833
4076,0.691811403946007,6.818247975712433,4.643150802104034,3.3726569652844582,2.9254907509647357,2.1454070545617956,1.8191547256863083
4077,0.5380862954264597,5.294751420481272,3.6060034219225443,2.619583136193824,2.268269235090944,1.662606806630841,1.4107605010785356
4078,0.7684519391353087,7.519645231181335,5.122962531682801,3.7229859071972053,3.224452858286407,2.36486668087242,2.0049031419567562
4079,0.6284300215324458,6.191473720012516,4.216408223110359,3.0627530423356646,2.6544582865250743,1.9461135686090465,1.6517035027402942
4080,0.33037178158274055,3.133910564334002,2.139062404095953,1.5578447129712454,1.34189825392745,0.9850303714883896,0.8354596607437386
4081,0.5777969266947962,5.53779260307765,3.777473577637178,2.7491029967430034,2.3725391190155207,1.7411191929243988,1.4747569671613796
4082,0.5106817003596094,5.00717734328825,3.410872030307715,2.478431021739354,2.1568756021642965,1.5843564702672486,1.345860284326343
4083,0.4393902815176404,4.33152664472998,2.949679167605247,2.142530600811007,1.8598700053098711,1.3642804796872419,1.1580185363351656
4084,0.5086997965076131,4.990649956993043,3.3994972896712046,2.4700685392880994,2.140960597864927,1.5702909936023264,1.3323420357525118
4085,0.5980351766340765,5.841014172372522,3.97979558219044,2.8925893922686132,2.5074829830179857,1.8399379708218955,1.560273770383358
4086,0.52952197127583,5.113088188975362,3.486199936928126,2.5358180838957107,2.2056820311274925,1.6221472139234814,1.3785848067303565
4087,0.5619590372243652,5.536310034892548,3.77025073964813,2.7386780282878176,2.385271684549072,1.7518856495771127,1.4902250802817787
4088,1.1735671531429095,11.441576312392256,7.796597781736804,5.667410901552413,4.891176961991673,3.5838554123121766,3.030803527385483
