tcad_x_um,tcad_lateral_um,electric_field_V_per_cm,electron_velocity_cm_per_s,hole_velocity_cm_per_s,electron_drift_to_cathode_ps,hole_drift_to_anode_ps,electron_multiplication_to_cathode,hole_multiplication_to_anode
-48.105953515625,-70.0,101742.4350538407,9926692.122962847,7145365.375605676,28.48439230504245,3783.4321403699664,9.868356024962312,1.00000000045813
-48.05605107421874,-70.0,101749.351069161,9926740.886998568,7145436.43706714,28.987100742233363,3782.7337549041035,9.868356025382608,1.00000000045813
-48.0061486328125,-70.0,101770.6648511567,9926891.129372044,7145655.382479586,29.489804140462482,3782.0353836103204,9.86835602580554,1.00000000045813
-47.95624619140625,-70.0,101798.8732092038,9927089.882361377,7145945.0319415275,29.992498702140164,3781.337037169338,9.868356026233146,1.00000000045813
-47.90634375,-70.0,101830.3486353598,9927311.53415696,7146268.066625215,30.49518261958079,3780.638720665273,9.868356026666454,1.00000000045813
-47.85644130859375,-70.0,101863.3583505882,9927543.85397201,7146606.664714074,30.99785504340424,3779.9404364870056,9.868356027106012,1.00000000045813
-47.8065388671875,-70.0,101897.0828832859,9927781.060390199,7146952.401612306,31.500515580349525,3779.2421857405834,9.868356027552139,1.00000000045813
-47.75663642578125,-70.0,101931.1379352557,9928020.443777995,7147301.328685992,32.003164052162866,3778.543968927345,9.868356028005046,1.00000000045813
-47.706733984375,-70.0,101965.3442396575,9928260.741006814,7147651.605123785,32.505800381183,3777.845786265712,9.868356028464895,1.00000000045813
-47.65683154296875,-70.0,101999.6189531424,9928501.36880644,7148002.380840584,33.008424536497,3777.147637842628,9.868356028931816,1.00000000045813
-47.6069291015625,-70.0,102033.9244158213,9928742.062272437,7148353.269715667,33.5110365086651,3776.4495236846415,9.868356029405929,1.00000000045813
-47.55702666015625,-70.0,102068.2433389481,9928982.699953986,7148704.0946974065,34.01363629802772,3775.7514437907953,9.86835602988734,1.00000000045813
-47.50712421875,-70.0,102102.5677447995,9929223.225929052,7149054.774240334,34.5162239094144,3775.0533981475064,9.86835603037616,1.00000000045813
-47.45722177734375,-70.0,102136.8939646292,9929463.614581758,7149405.27097153,35.01879934971758,3774.3553867353903,9.868356030872496,1.00000000045813
-47.4073193359375,-70.0,102171.2203165431,9929703.854261268,7149755.567873813,35.52136262677173,3773.6574095324117,9.868356031376454,1.00000000045813
