event_id,primary_charge_fC,preirradiation_full_collection_charge_fC,effective_electron_multiplication,primary_electron_induced_charge_fC,primary_hole_induced_charge_fC,primary_charge_weighted_electron_drift_ps,primary_charge_weighted_hole_drift_ps,gain_charge_weighted_electron_drift_ps,max_electron_drift_ps,max_hole_drift_ps
1157,1.0424797278597118,10.19711973252082,9.7816000254089,0.697516979828675,0.3449627480310366,351.3294647730873,3336.8387167549713,354.3415739162584,1233.3003280060782,3800.968387551126
1158,0.5111456053742125,4.98490411425216,9.752415088461309,0.321807944682198,0.18933766069201452,378.34678067105557,3231.960397785226,382.7004943158411,1233.3003280060782,3800.9683864530202
1159,0.38929738875404035,3.7067188461276395,9.521561030735706,0.1853566493623974,0.20394073939164287,263.2820475699356,3443.374127298303,272.34884488626284,1233.3003280060782,3800.9683867311583
1160,1.6022389414423228,15.790997978141862,9.855582441359795,1.1764529786715703,0.4257859627707523,399.1036582269801,3250.1211522122735,399.637420805008,1233.3003280060782,3800.9683857183268
1161,1.293446451650259,12.657748982597676,9.786063401734285,0.7219349841686916,0.571511467481567,303.2423232481357,3390.958258667212,305.6873055036965,1233.3003280060782,3800.968387532393
1162,0.5695991022249399,5.602220020639141,9.835373684326441,0.2675913731158193,0.3020077291091206,263.32278379629486,3438.6219677628196,264.1752330292723,1233.3003280060782,3800.968387235768
1163,1.6116774286383733,15.782661654126958,9.79269261558186,0.40655404342641266,1.205123385211961,142.85315030327828,3618.378136551863,143.85048302956943,1233.3003280060782,3800.968385813651
1164,0.6989242651117092,6.717562356563794,9.611287934738,0.35601091478250385,0.34291335032920567,269.66257614421954,3449.7335368006406,276.4932507165663,674.7618006794787,3800.9683856119786
1165,1.491754466812529,14.590577501968164,9.780817035623988,0.4727391862182023,1.0190152805943264,174.08004142384215,3577.823033513019,175.51624833106817,1233.3003280060782,3800.968385935597
1166,0.49972537006565604,4.881825852369082,9.769017433971158,0.2655814952705472,0.2341438747951087,304.2373720578145,3368.6409506844207,307.20286946491404,1233.3003280060782,3800.968386251154
1167,0.568000627253159,5.565039484410342,9.797593906406009,0.2843617239074811,0.28363890334567826,297.307623367175,3365.595733092576,299.369373040555,1233.3003280060782,3800.968386624422
1168,0.47227159587017725,4.6101248796698036,9.76159675911799,0.21356154265652535,0.2587100532136519,255.407533977711,3448.022738291615,258.05635418198557,1233.3003280060782,3800.9683855266635
1169,0.5507439983912656,5.435296800907905,9.86900777273019,0.2643538569065957,0.28639014148467,290.71372374744556,3369.0471130904716,290.7195501792457,1233.3003280060782,3788.240413254873
1170,2.5906234037941567,25.475378063233958,9.833686372910632,1.5678545605621588,1.0227688432319988,321.7620486128854,3373.27919113842,322.86433704675113,1233.3003280060782,3800.968386259601
1171,0.6591064225036122,6.433481973608268,9.76091531496647,0.29503399424414384,0.36407242825946834,268.3034300938652,3408.4088439796124,271.1122907780773,1233.3003280060782,3800.9683855442663
1172,0.552628099628507,5.4538979955364395,9.869020412104835,0.30817013807727045,0.2444579615512365,308.00640122604386,3377.1910308166343,308.01018604344034,1233.3003280060782,3788.24041278506
1173,0.5112696433818107,4.888333647785983,9.56116544579477,0.24883831566288966,0.26243132771892086,279.8823971886066,3404.418547950265,288.41787577183857,1233.3003280060782,3800.968385358075
1174,0.4998529091344584,4.836504154517517,9.675854768740612,0.262606243031769,0.23724666610268927,315.9331244030202,3331.295094758189,321.9487099527864,1233.3003280060782,3800.968388895061
1175,0.7679768211865062,7.537916670669201,9.815291897772768,0.41758614144073375,0.3503906797457727,288.08784175730796,3423.050714734786,289.58568482497355,1233.3003280060782,3800.968385930362
1176,0.7859839079566663,7.72545597010928,9.829025622411608,0.3744442551158292,0.4115396528408371,260.4132496643056,3451.640557281838,261.41418059280204,1233.3003280060782,3800.9683869905152
1177,1.0893937391372857,10.674688830171991,9.798742591108985,0.6090116134040722,0.48038212573321365,315.61760743750506,3356.8027171987233,317.77651276011505,1233.3003280060782,3800.9683855076764
1178,0.7365975348276084,7.167378867586933,9.730386715541169,0.3486684979240433,0.38792903690356473,258.9553343519047,3453.5093669054204,262.4329339669459,1233.3003280060782,3800.9683856102274
1179,0.9871484537872092,9.613861855933742,9.73902336477358,0.5967123306710724,0.3904361231161365,322.88650420190834,3369.5881815820208,326.999963695913,1233.3003280060782,3800.968386179802
1180,0.6772176193492049,6.6215098508664445,9.777521525842177,0.3800957251736002,0.29712189417560475,322.88088278725957,3338.0007256177582,325.76997353759566,1233.3003280060782,3800.968388638116
1181,0.8317730806825342,8.185503130184689,9.841029146396334,0.39480271141456286,0.4369703692679714,264.64803310190644,3438.4506042637086,265.35997460983793,1233.3003280060782,3800.968385670702
1182,0.4533473206660212,4.451554066630488,9.819301589983205,0.21399083240090808,0.23935648826511297,272.0743115989171,3415.642620215069,273.3783071333558,1233.3003280060782,3800.9683856167903
1183,0.8142826897333818,7.941572195799032,9.75284418535204,0.3284373982982839,0.4858452914350979,215.5928759425462,3524.277775091918,217.98379108349718,674.7618006799757,3800.9683875060364
1184,0.8251958512543038,8.056067853361663,9.76261313131468,0.5361607149253285,0.289035136328975,341.11880930239363,3351.402345391139,344.67910968935456,674.7618006796582,3800.9683879836857
1185,1.057524984616486,10.32518693123507,9.763539473234784,0.6976112503788272,0.3599137342376589,365.67592301274726,3289.593940815024,369.46912756774543,1233.3003280060782,3800.9683867105464
1186,0.610973229465435,5.9869743517221625,9.799078033190435,0.2755055745193855,0.3354676549460495,259.211174527784,3436.3951481371873,260.95651722998974,1233.3003280060782,3800.968389252164
1187,0.6634948739245589,6.474930294118768,9.758824896143787,0.3225450003017965,0.34094987362276225,284.7245800324456,3390.378541435515,287.77655080543065,1233.3003280060782,3800.9683862730176
1188,0.632555256613782,6.128883696179005,9.689088237110495,0.2846833416538771,0.347871914959905,249.07338261820675,3464.2670500251634,253.422593380641,1233.3003280060782,3800.968385536264
1189,0.6376726337696127,6.285896001419468,9.857559613716345,0.2915343655067891,0.3461382682628238,265.1651668005001,3424.2240166774936,265.4591692421707,1233.3003280060782,3800.968387742401
1190,0.6277853416095482,6.152064544667609,9.799630760563206,0.22728836812287964,0.40049697348666835,197.86951755209998,3543.927034135341,199.16555642842454,1233.3003280060782,3800.9683853948595
1191,0.5717809719412007,5.511107890088232,9.638494739301974,0.2746796361798458,0.29710133576135495,259.14041079111,3458.1388324315885,264.98396196450807,1233.3003280060782,3800.968386200451
1192,0.9917278701147192,9.780948288512041,9.862532437835613,0.5727371113295945,0.4189907587851248,310.8841347519499,3383.6264749457187,311.082571033304,1233.3003280060782,3800.9683857505565
1193,0.47872261022331014,4.719205929608678,9.857913181512997,0.2405126414966134,0.2382099687266967,268.85256229542983,3446.9189218712727,269.1410442109775,674.7618006794535,3800.968385342851
1194,0.3914634809936182,3.7652989887238384,9.618519150666884,0.18744367448635418,0.20401980650726403,256.2681923674019,3465.072511326399,262.5562587878914,1233.3003280060782,3800.9683860754562
1195,0.3860119677836683,3.6310518850511477,9.406578521125255,0.16770207774371262,0.21830989003995585,243.02798589114596,3469.859028694912,254.24647844926437,1233.3003280060782,3800.9683873473136
