vertex_id,x_um,depth_um,potential_V,electric_field_mag_V_per_cm,Ex_V_per_cm,Ey_or_Ez_V_per_cm,net_doping_cm-3,donor_cm-3,acceptor_cm-3,phosphorus_like_cm-3,boron_like_cm-3,impact_ionization,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1,bias_V
1752,-46.908294921875,8.75,-50.75015825787104,102530.0938826712,102530.0938825523,0.1561498941207617,-2990055275127.953,10030016869.6319,3000085291997.585,10030016869.6319,3000085291997.585,23865085.96042841,1.208220369453444e-05,6.033507463873474e-14,-590.0
1753,-46.80849003906249,17.5,-51.77375707374685,102582.0338590322,102582.0338589658,0.1166773869282107,-2990054731029.464,10030016009.52494,3000084747038.989,10030016009.52494,3000084747038.989,24842258.70710976,1.236140737967439e-05,6.29093815477511e-14,-590.0
1754,-46.70868515625,26.25,-52.79799880566384,102685.2395832617,102685.2395831306,0.1640863201479474,-2990054502080.918,10030015382.19425,3000084517463.113,10030015382.19425,3000084517463.113,26902364.17967657,1.293415912389209e-05,6.833778426457253e-14,-590.0
1755,-46.50907539062499,35.0,-54.84841387752719,102788.2656760417,102788.2656760395,0.02096191416667051,-2990054225043.934,10030014484.73822,3000084239528.672,10030014484.73822,3000084239528.672,29136463.15569784,1.353179673247344e-05,7.42339927257812e-14,-590.0
1756,-46.309465625,43.75000000000001,-56.90154283884824,102994.1344232131,102994.1344223623,0.4186236877548044,-2990054049614.525,10030013945.62469,3000084063560.15,10030013945.62469,3000084063560.15,34153494.77449828,1.480387559807628e-05,8.750653661675103e-14,-590.0
1757,-45.91024609375,52.5,-61.01600823598024,103199.8659811366,103199.8659811344,0.02107649280889826,-2990053853025.849,10030013431.97913,3000083866457.828,10030013431.97913,3000083866457.828,40066832.92482766,1.619309680599665e-05,1.032003868159707e-13,-590.0
1758,-45.5110265625,61.25,-65.14146224994971,103611.6081954099,103611.6081779196,1.903787674375964,-2990053721886.997,10030013157.85999,3000083735044.856,10030013157.85999,3000083735044.856,55003868.50844657,1.934178728867805e-05,1.430154813753342e-13,-590.0
1759,-45.5110265625,70.0,-65.1418299774015,103611.5079134161,103611.5078567707,-3.426112591947502,-2990053721887.32,10030013157.86091,3000083735045.182,10030013157.86091,3000083735045.182,55004894.2630656,1.934389944925557e-05,1.430440338481151e-13,-590.0
1760,-44.7125875,70.0,-73.42553625075034,104021.8490104916,104021.8485786688,-9.478291190133254,-2990053558451.97,10030012909.93097,3000083571361.901,10030012909.93097,3000083571361.901,75713843.66614485,2.308954108018619e-05,1.985378107622206e-13,-590.0
1761,-44.7125875,61.25,-73.42513996505853,104022.4242541903,104022.4242538734,0.2567848645749852,-2990053558451.531,10030012909.92937,3000083571361.461,10030012909.92937,3000083571361.461,75714164.15444209,2.308742418659077e-05,1.985045506985581e-13,-590.0
